message_text,category
"Hello, Do you service 60601? asap",inquiry
"Hello, Can I pause service while I'm away? urgent...",inquiry
Order ID #7865: confirm activation asap,order
"Hey, Frequent outages in my area 94107 please.",complaint
"Hi, No channels after payment, please fix asap!",complaint
"Hello, Billing shows extra charges for March.",complaint
"Hey, I'd like a new connection at 6395 Cedar Blvd, New York 33101 thanks.",order
"Hi, I want to order Basic plan asap!",order
"Hi, How long does installation take? urgent",inquiry
"Hi, Is there a contract for 12 months? asap!",inquiry
"Hi, Remote not working and the box keeps restarting asap...",complaint
Cable line is damaged outside my house please!,complaint
"Hello, Start a new service at 2665 Oak Ave, Houston 75001 on 2025-02-05 asap!",order
"Hello, Can I pause service while I'm away? thanks",inquiry
"Hey, What are the prices for Premium plan? urgent.",inquiry
"Hey, How long does installation take? asap...",inquiry
"Hi, What are the prices for Sports Max plan? please",inquiry
Technician didn't arrive for the appointment thanks.,complaint
"Hey, Remote not working and the box keeps restarting please...",complaint
"Hello, What are the prices for Fiber 500 plan? asap",inquiry
"Hey, Frequent outages in my area 75001",complaint
"Hi, Schedule installation for 2025-04-30 at 3881 Maple St, Phoenix 94107 thanks!",order
"Hey, No channels after payment, please fix asap.",complaint
"Hey, What is the early termination fee? please!",inquiry
"Hi, Billing shows extra charges for September thanks",complaint
Do you have student discounts? asap!,inquiry
Do you have student discounts? urgent...,inquiry
"Hello, Do you offer weekend installation? urgent",inquiry
"I'd like a new connection at 3684 Maple St, Miami 77001 urgent",order
"Hello, Billing shows extra charges for December asap...",complaint
"Hi, Internet is down since 11:00 AM",complaint
Which channels are included in sports package?...,inquiry
"Hello, Please upgrade my package to Fiber 500!",order
"Hey, What's the data cap on Premium? urgent.",inquiry
"Hey, Do you service 60601? asap",inquiry
Sign me up for Gigabit with international pack thanks,order
"Hi, Do you service 75001?.",inquiry
"Very slow speed, I'm getting only 5 Mbps...",complaint
"Hi, Technician didn't arrive for the appointment thanks...",complaint
"Hi, Do you service 77001?!",inquiry
App streaming buffers every few minutes urgent...,complaint
"Hello, Order ID #7363: confirm activation urgent.",order
"Hello, Start a new service at 675 Cedar Blvd, Miami 75001 on 2025-03-09 urgent.",order
"Hello, Technician didn't arrive for the appointment urgent.",complaint
What is the early termination fee? please.,inquiry
Order ID #3420: confirm activation please...,order
"Hello, I want to order Fiber 500 plan thanks...",order
"Hello, Technician didn't arrive for the appointment please",complaint
"Hey, How long does installation take? urgent!",inquiry
"Hey, Start a new service at 9152 Elm St, Phoenix 75001 on 2025-02-26.",order
"Hey, Internet is down since 12:45 PM asap!",complaint
"Hey, Technician didn't arrive for the appointment.",complaint
"Hello, Which channels are included in sports package? urgent!",inquiry
Which channels are included in sports package?!,inquiry
"Very slow speed, I'm getting only 1 Mbps urgent!",complaint
"Hello, Remote not working and the box keeps restarting...",complaint
"I'd like a new connection at 1534 Maple St, New York 77001 urgent.",order
"Hello, Schedule installation for 2025-05-17 at 2949 Pine Rd, San Francisco 85001 asap...",order
"Hello, Can I pause service while I'm away? urgent!",inquiry
"Hey, Technician didn't arrive for the appointment asap.",complaint
"Hey, Can I add international pack to my subscription? urgent...",order
"Hey, Internet is down since 6:30 PM asap",complaint
"Hi, Technician didn't arrive for the appointment please",complaint
"Hello, I'd like a new connection at 5362 Cedar Blvd, New York 10001...",order
"Hi, Frequent outages in my area 77001 urgent...",complaint
How long does installation take?,inquiry
Can I add HBO to my subscription?!,order
"Hi, Which channels are included in movies package?...",inquiry
"Hey, Start a new service at 6416 Elm St, Miami 85001 on 2025-02-06 urgent.",order
"Hi, Cable line is damaged outside my house thanks",complaint
"Hello, Remote not working and the box keeps restarting",complaint
"Hi, Do you have student discounts? please.",inquiry
"Hi, I'd like a new connection at 4856 Maple St, Dallas 77001 asap.",order
"Hello, Remote not working and the box keeps restarting asap!",complaint
"Hi, Can I pause service while I'm away? please...",inquiry
"Hi, My TV signal keeps dropping asap",complaint
Can I pause service while I'm away? asap...,inquiry
"Hi, App streaming buffers every few minutes asap.",complaint
"Hey, My TV signal keeps dropping asap...",complaint
Remote not working and the box keeps restarting thanks...,complaint
Place an order for movies channels package asap,order
"Hi, No channels after payment, please fix please.",complaint
"Hello, Very slow speed, I'm getting only 10 Mbps",complaint
"Hello, How long does installation take? please...",inquiry
"Hello, Technician didn't arrive for the appointment please.",complaint
"Hello, Can I pause service while I'm away?!",inquiry
"Start a new service at 5059 Maple St, Chicago 33101 on 2025-01-01 asap.",order
"Hey, I'd like to order a set-top box for basement please",order
I want to order Premium plan thanks...,order
"Hello, Internet is down since 5:00 AM...",complaint
Cable line is damaged outside my house urgent!,complaint
"Hey, Place an order for family channels package thanks",order
"Hey, Please upgrade my package to Basic asap...",order
"Hi, Please upgrade my package to Gigabit asap",order
Billing shows extra charges for March asap...,complaint
Please upgrade my package to Premium...,order
"Hey, Schedule installation for 2025-06-25 at 5391 Oak Ave, Phoenix 85001 thanks!",order
"Hey, Frequent outages in my area 10001",complaint
"Hi, I'd like to order a set-top box for bedroom please...",order
"Hi, Is there a contract for 6 months? thanks!",inquiry
App streaming buffers every few minutes...,complaint
Internet is down since 10:30 AM urgent,complaint
Please upgrade my package to Basic urgent.,order
"Hi, Order ID #5530: confirm activation asap.",order
"Hello, Remote not working and the box keeps restarting",complaint
"Hi, Can I add kids pack to my subscription?...",order
I want to order Standard plan!,order
"Hey, I want to order Basic plan asap!",order
"Hey, Please upgrade my package to Basic.",order
What are the prices for Standard plan? urgent!,inquiry
"Hi, Do you offer weekend installation? asap...",inquiry
"Hey, How long does installation take? thanks...",inquiry
"Hey, What is the early termination fee? thanks",inquiry
"Hello, What are the prices for Gigabit plan? thanks",inquiry
I want to order Sports Max plan thanks!,order
"Hi, Do you have student discounts? thanks",inquiry
Sign me up for Basic with 4K DVR!,order
"Hey, Cable line is damaged outside my house thanks!",complaint
Place an order for news channels package asap,order
Which channels are included in movies package? please...,inquiry
Which channels are included in sports package? thanks!,inquiry
"Hey, Internet is down since 9:30 PM please.",complaint
"Hey, Start a new service at 77 Oak Ave, New York 85001 on 2025-03-30 urgent",order
"Hey, Please upgrade my package to Fiber 500",order
"Hi, Can I add international pack to my subscription? thanks!",order
"Hello, Very slow speed, I'm getting only 10 Mbps!",complaint
"Hi, What is the early termination fee? urgent...",inquiry
"Hello, Start a new service at 4831 Pine Rd, San Francisco 77001 on 2025-05-12 asap...",order
"Hey, Very slow speed, I'm getting only 1 Mbps thanks...",complaint
"Hey, Billing shows extra charges for May",complaint
"Hi, No channels after payment, please fix please.",complaint
Is there a contract for 6 months? please...,inquiry
"Hello, What's the data cap on Sports Max? please",inquiry
"Hey, Internet is down since 1:00 AM urgent",complaint
"Hello, I want to order Standard plan",order
"Hello, Do you offer weekend installation? thanks...",inquiry
What is the early termination fee? please,inquiry
Do you offer weekend installation? asap...,inquiry
"Hi, Do you service 10001? thanks...",inquiry
"Hi, App streaming buffers every few minutes thanks!",complaint
"Hello, No channels after payment, please fix thanks.",complaint
"Hi, Very slow speed, I'm getting only 1 Mbps.",complaint
"Hi, Place an order for sports channels package asap...",order
"Hello, My TV signal keeps dropping urgent...",complaint
How long does installation take? thanks,inquiry
"Hi, Can I pause service while I'm away? please!",inquiry
What's the data cap on Standard? urgent.,inquiry
"Hi, Internet is down since 9:45 PM please!",complaint
"Start a new service at 8859 Pine Rd, Phoenix 33101 on 2025-03-18 please...",order
"Hi, What's the data cap on Basic? thanks...",inquiry
"Hey, I'd like to order a set-top box for living room asap...",order
"Hi, Can I add HBO to my subscription? thanks",order
I'd like to order a set-top box for basement asap,order
Billing shows extra charges for June,complaint
"Hi, Schedule installation for 2025-06-15 at 5427 Oak Ave, Phoenix 60601 urgent...",order
"Hey, Sign me up for Premium with kids pack asap...",order
"Hey, Remote not working and the box keeps restarting asap...",complaint
"Hello, Billing shows extra charges for August",complaint
"Hello, Is there a contract for 6 months? thanks...",inquiry
"Hi, Internet is down since 6:30 AM thanks",complaint
"Hi, Internet is down since 2:45 PM thanks!",complaint
"Hi, Do you offer weekend installation? urgent.",inquiry
"Hi, How long does installation take?...",inquiry
"Hello, No channels after payment, please fix please",complaint
"Hello, Billing shows extra charges for April please",complaint
"Hey, Place an order for international channels package please...",order
What are the prices for Gigabit plan? asap,inquiry
"Hi, Which channels are included in family package? urgent.",inquiry
"Hey, Remote not working and the box keeps restarting thanks",complaint
"Hi, What are the prices for Basic plan? thanks.",inquiry
Frequent outages in my area 60601 please!,complaint
"Hi, What's the data cap on Gigabit? thanks.",inquiry
"Hey, Do you have student discounts?.",inquiry
Place an order for international channels package thanks,order
"Hi, Place an order for movies channels package please.",order
Billing shows extra charges for April urgent,complaint
I want to order Fiber 500 plan urgent.,order
Do you service 94107?.,inquiry
Can I pause service while I'm away? please!,inquiry
"Hello, Please upgrade my package to Fiber 500!",order
"Hey, My TV signal keeps dropping please.",complaint
"Hey, I'd like a new connection at 4573 Cedar Blvd, New York 77001 asap!",order
"Hello, I'd like a new connection at 6926 Elm St, San Francisco 60601",order
"Hi, Do you offer weekend installation?",inquiry
"Hello, Very slow speed, I'm getting only 5 Mbps thanks...",complaint
"Hello, Start a new service at 1669 Pine Rd, Phoenix 10001 on 2025-04-27 please...",order
"Hi, Can I pause service while I'm away? please...",inquiry
"Hello, Sign me up for Basic with sports pack thanks.",order
"Hello, Is there a contract for 6 months? asap.",inquiry
"Hi, Can I pause service while I'm away? urgent...",inquiry
Place an order for family channels package thanks.,order
"Hello, Sign me up for Sports Max with sports pack!",order
"Hey, How long does installation take? asap",inquiry
I'd like to order a set-top box for bedroom thanks.,order
"Hello, Do you offer weekend installation? asap",inquiry
"Hey, No channels after payment, please fix asap!",complaint
"Hey, Technician didn't arrive for the appointment thanks!",complaint
Can I add multi-room DVR to my subscription? thanks,order
"Hey, Is there a contract for 6 months? asap",inquiry
"Hi, Place an order for news channels package please.",order
"Hi, Internet is down since 5:30 PM thanks.",complaint
"Hey, Do you service 85001? asap!",inquiry
"Hey, Remote not working and the box keeps restarting thanks.",complaint
Please upgrade my package to Basic urgent!,order
"Hello, Very slow speed, I'm getting only 25 Mbps thanks.",complaint
"Hey, Remote not working and the box keeps restarting urgent",complaint
"Hello, Technician didn't arrive for the appointment urgent!",complaint
"Hello, App streaming buffers every few minutes",complaint
"Hey, No channels after payment, please fix urgent",complaint
"Hey, I'd like to order a set-top box for bedroom urgent!",order
"Hello, Cable line is damaged outside my house urgent...",complaint
"Hey, Order ID #8248: confirm activation please...",order
"Hey, Frequent outages in my area 33101 asap.",complaint
"Hello, I'd like to order a set-top box for basement please.",order
"Hello, Order ID #7014: confirm activation urgent!",order
"Hello, Order ID #8029: confirm activation",order
"Hello, Frequent outages in my area 94107 asap...",complaint
"Hey, Internet is down since 11:15 PM thanks.",complaint
"Hello, What is the early termination fee? urgent.",inquiry
Sign me up for Standard with HBO,order
"Hello, I'd like a new connection at 5155 Cedar Blvd, San Francisco 75001 urgent.",order
"Hey, Which channels are included in movies package?...",inquiry
"Hello, Very slow speed, I'm getting only 5 Mbps urgent...",complaint
"Hello, Do you have student discounts? asap...",inquiry
"Hi, Do you offer weekend installation? thanks...",inquiry
Do you have student discounts?,inquiry
Billing shows extra charges for May urgent...,complaint
"Hi, How long does installation take? asap.",inquiry
"No channels after payment, please fix urgent...",complaint
Place an order for family channels package urgent,order
"Hello, My TV signal keeps dropping asap.",complaint
"Hi, Can I pause service while I'm away? urgent",inquiry
"Hello, What's the data cap on Sports Max? asap!",inquiry
Internet is down since 10:45 PM...,complaint
I'd like to order a set-top box for living room thanks...,order
"Hello, Very slow speed, I'm getting only 25 Mbps asap",complaint
"Hey, I want to order Standard plan urgent...",order
"Hi, Technician didn't arrive for the appointment asap!",complaint
My TV signal keeps dropping asap!,complaint
"Hello, Schedule installation for 2025-02-17 at 4429 Maple St, New York 94107 asap.",order
"Hey, Billing shows extra charges for March urgent",complaint
Internet is down since 9:45 AM please...,complaint
I'd like to order a set-top box for office urgent.,order
"Hey, I'd like to order a set-top box for bedroom asap!",order
"Hey, Do you have student discounts? thanks!",inquiry
"Hello, I want to order Gigabit plan asap!",order
"Hello, Do you offer weekend installation?.",inquiry
App streaming buffers every few minutes...,complaint
Frequent outages in my area 10001 asap!,complaint
"No channels after payment, please fix...",complaint
"Hi, Place an order for news channels package urgent.",order
"Hello, Remote not working and the box keeps restarting asap",complaint
"Hi, App streaming buffers every few minutes urgent.",complaint
"Hey, Billing shows extra charges for February asap.",complaint
Remote not working and the box keeps restarting thanks.,complaint
"Hi, No channels after payment, please fix asap.",complaint
"Hi, I'd like a new connection at 4036 Pine Rd, Chicago 60601 urgent.",order
"Hey, Start a new service at 7369 Elm St, Miami 77001 on 2025-01-02",order
"Hey, Please upgrade my package to Sports Max asap.",order
"Hey, Frequent outages in my area 10001 asap...",complaint
Technician didn't arrive for the appointment.,complaint
"Hey, I'd like to order a set-top box for living room urgent...",order
"Hi, Billing shows extra charges for December asap...",complaint
"Hi, Start a new service at 9140 Elm St, New York 60601 on 2025-03-04",order
"Hi, Place an order for sports channels package thanks...",order
"Hey, Technician didn't arrive for the appointment!",complaint
"Hey, Order ID #5006: confirm activation thanks",order
"Hey, I'd like a new connection at 605 Cedar Blvd, Houston 60601 thanks...",order
"Hello, Can I pause service while I'm away? please...",inquiry
"Hey, Start a new service at 585 Pine Rd, Houston 33101 on 2025-05-02 urgent...",order
Sign me up for Standard with 4K DVR!,order
"Hello, Billing shows extra charges for July please!",complaint
"Hey, Cable line is damaged outside my house urgent!",complaint
"Hey, Can I add multi-room DVR to my subscription? please...",order
"Hey, Which channels are included in international package? urgent.",inquiry
Order ID #4603: confirm activation please!,order
"Hello, Cable line is damaged outside my house",complaint
Place an order for news channels package asap.,order
How long does installation take? please.,inquiry
"Hello, What's the data cap on Basic? urgent.",inquiry
"Hello, Can I add kids pack to my subscription? thanks...",order
Cable line is damaged outside my house thanks,complaint
"Hi, Is there a contract for 12 months? urgent.",inquiry
"Hey, I'd like to order a set-top box for bedroom thanks.",order
"Hi, Please upgrade my package to Gigabit!",order
"Hey, Schedule installation for 2025-01-20 at 6560 Elm St, New York 85001.",order
"Hi, Place an order for sports channels package urgent...",order
"Hey, Frequent outages in my area 85001 asap",complaint
"Hello, Remote not working and the box keeps restarting please!",complaint
"Hi, I'd like to order a set-top box for bedroom asap...",order
"Hey, What is the early termination fee?!",inquiry
"Hello, Place an order for movies channels package urgent.",order
"Hi, What is the early termination fee? asap...",inquiry
How long does installation take?!,inquiry
Cable line is damaged outside my house please.,complaint
My TV signal keeps dropping,complaint
"Hi, My TV signal keeps dropping asap.",complaint
"Hey, How long does installation take?",inquiry
Remote not working and the box keeps restarting please...,complaint
"Hi, Do you have student discounts? thanks...",inquiry
Remote not working and the box keeps restarting urgent,complaint
"Hey, Cable line is damaged outside my house please...",complaint
"Hi, Very slow speed, I'm getting only 5 Mbps thanks.",complaint
"Hey, Cable line is damaged outside my house please",complaint
How long does installation take? asap,inquiry
"Hello, Can I add HBO to my subscription? asap!",order
"Hey, Can I pause service while I'm away? asap.",inquiry
"Hey, Place an order for family channels package urgent.",order
Do you service 75001? please!,inquiry
"Hello, Technician didn't arrive for the appointment urgent.",complaint
"Hey, Place an order for family channels package asap.",order
"Hey, How long does installation take? thanks!",inquiry
"Hi, Do you service 60601? asap",inquiry
"Hello, Can I add multi-room DVR to my subscription? thanks.",order
"Hey, Remote not working and the box keeps restarting urgent.",complaint
"Hello, Is there a contract for 6 months? urgent...",inquiry
"Hello, What's the data cap on Sports Max?!",inquiry
"Hey, Can I add sports pack to my subscription? thanks",order
"Hey, Which channels are included in sports package?",inquiry
"Hi, Please upgrade my package to Standard please",order
"Hey, My TV signal keeps dropping",complaint
"Hey, What is the early termination fee? asap.",inquiry
"Hey, Do you have student discounts? asap.",inquiry
"No channels after payment, please fix thanks...",complaint
"Hello, Very slow speed, I'm getting only 5 Mbps urgent!",complaint
"Hey, My TV signal keeps dropping asap!",complaint
Remote not working and the box keeps restarting thanks!,complaint
"Hello, Very slow speed, I'm getting only 10 Mbps please!",complaint
"Hello, Technician didn't arrive for the appointment asap",complaint
"Hello, How long does installation take? asap!",inquiry
"Hello, Cable line is damaged outside my house.",complaint
"Hey, No channels after payment, please fix urgent",complaint
"Hi, What are the prices for Basic plan? thanks",inquiry
"Very slow speed, I'm getting only 100 Mbps asap.",complaint
"Hello, Cable line is damaged outside my house please!",complaint
"Hey, Do you offer weekend installation? please!",inquiry
"Hey, Internet is down since 7:15 PM!",complaint
Remote not working and the box keeps restarting.,complaint
App streaming buffers every few minutes,complaint
"Hey, Can I add HBO to my subscription? asap",order
"Hi, Frequent outages in my area 85001 urgent...",complaint
"Hey, Very slow speed, I'm getting only 25 Mbps thanks",complaint
"Hello, Do you offer weekend installation? urgent.",inquiry
What is the early termination fee? please.,inquiry
"Hey, Cable line is damaged outside my house urgent.",complaint
"Hello, Is there a contract for 6 months? thanks.",inquiry
"Hi, Place an order for movies channels package",order
"Hey, What is the early termination fee? thanks...",inquiry
"Hi, Do you have student discounts? urgent...",inquiry
"Hi, Internet is down since 8:00 PM urgent.",complaint
"Hey, Remote not working and the box keeps restarting urgent!",complaint
"Hello, Internet is down since 1:30 PM asap",complaint
"Hi, What are the prices for Premium plan? thanks!",inquiry
"Hello, Remote not working and the box keeps restarting urgent...",complaint
"Hello, Frequent outages in my area 77001 please!",complaint
"Hello, Order ID #5560: confirm activation thanks...",order
"Very slow speed, I'm getting only 10 Mbps asap.",complaint
"Hi, Frequent outages in my area 77001 asap...",complaint
"Hello, Please upgrade my package to Fiber 500 urgent...",order
"Hi, My TV signal keeps dropping urgent",complaint
What is the early termination fee? urgent,inquiry
"Hey, Please upgrade my package to Sports Max!",order
Place an order for news channels package please...,order
"Hey, Place an order for news channels package asap!",order
Place an order for movies channels package please,order
"Hi, Can I pause service while I'm away? thanks...",inquiry
"Hey, Frequent outages in my area 85001 thanks...",complaint
"Hi, Can I add international pack to my subscription? urgent!",order
"Hi, Very slow speed, I'm getting only 10 Mbps",complaint
"Hey, Do you have student discounts? urgent",inquiry
"No channels after payment, please fix please",complaint
"Hello, What's the data cap on Fiber 500? please.",inquiry
Remote not working and the box keeps restarting asap.,complaint
"Hey, I'd like to order a set-top box for bedroom thanks",order
"Hey, What is the early termination fee? please...",inquiry
Do you service 75001? urgent,inquiry
How long does installation take? please,inquiry
Do you have student discounts? asap,inquiry
"Hi, Do you have student discounts? asap...",inquiry
"Hi, Can I pause service while I'm away? asap!",inquiry
"Hi, Do you have student discounts? urgent.",inquiry
"Hey, Can I pause service while I'm away? please",inquiry
Can I pause service while I'm away? thanks!,inquiry
"Hey, Technician didn't arrive for the appointment thanks...",complaint
"Hey, I want to order Standard plan asap...",order
"Hi, Frequent outages in my area 77001 urgent...",complaint
"Hi, Can I pause service while I'm away? urgent!",inquiry
"Hi, Frequent outages in my area 60601 please!",complaint
"Hello, What are the prices for Sports Max plan?...",inquiry
"Hello, Do you have student discounts? asap...",inquiry
"Hello, How long does installation take? urgent",inquiry
"Hi, Can I add sports pack to my subscription? urgent",order
"Hello, Which channels are included in news package? asap.",inquiry
"Hello, Please upgrade my package to Premium please...",order
"Hey, Order ID #7653: confirm activation asap...",order
Do you have student discounts? please,inquiry
"Hey, Start a new service at 1082 Oak Ave, Phoenix 85001 on 2025-02-24 please.",order
"Hi, My TV signal keeps dropping urgent...",complaint
Internet is down since 9:15 PM urgent!,complaint
"Hey, What are the prices for Standard plan? asap!",inquiry
"Hello, Order ID #7505: confirm activation",order
Billing shows extra charges for November!,complaint
I'd like to order a set-top box for office.,order
"Hi, I want to order Premium plan asap.",order
What are the prices for Fiber 500 plan? please,inquiry
"Hi, I'd like to order a set-top box for living room thanks.",order
"Hey, My TV signal keeps dropping asap.",complaint
"Hi, I'd like a new connection at 3918 Pine Rd, San Francisco 10001 urgent!",order
Order ID #5390: confirm activation.,order
Technician didn't arrive for the appointment asap,complaint
"Hey, I'd like to order a set-top box for basement asap!",order
"Hello, Sign me up for Premium with 4K DVR thanks...",order
"Hi, Very slow speed, I'm getting only 1 Mbps asap.",complaint
"Hello, Sign me up for Basic with HBO...",order
Remote not working and the box keeps restarting urgent...,complaint
"Hi, What's the data cap on Standard?",inquiry
"Hey, Place an order for movies channels package please.",order
"Hello, Billing shows extra charges for March asap...",complaint
"Start a new service at 7761 Pine Rd, Phoenix 60601 on 2025-01-30!",order
"Hello, Do you offer weekend installation? urgent...",inquiry
"Hey, Very slow speed, I'm getting only 50 Mbps.",complaint
What is the early termination fee? please,inquiry
"Hello, Is there a contract for 12 months?...",inquiry
"Schedule installation for 2025-05-27 at 7926 Maple St, New York 60601 urgent.",order
"Hey, Schedule installation for 2025-01-03 at 4454 Maple St, Chicago 85001 thanks...",order
"Hello, I'd like to order a set-top box for office urgent.",order
Do you service 94107? thanks!,inquiry
"Hi, Frequent outages in my area 94107!",complaint
"I'd like a new connection at 7759 Maple St, New York 60601 asap.",order
"Hey, Internet is down since 6:00 PM urgent!",complaint
"Hello, No channels after payment, please fix...",complaint
What is the early termination fee? thanks.,inquiry
"Hey, Do you service 33101? please.",inquiry
Do you have student discounts? thanks...,inquiry
"Hi, Billing shows extra charges for January asap.",complaint
"Hello, Frequent outages in my area 77001 thanks!",complaint
"Hello, Can I pause service while I'm away?!",inquiry
Cable line is damaged outside my house please,complaint
"Hello, Can I add kids pack to my subscription? please.",order
"Hi, Remote not working and the box keeps restarting urgent!",complaint
Please upgrade my package to Gigabit please...,order
"Hey, Start a new service at 5814 Pine Rd, Dallas 60601 on 2025-02-19 please...",order
"Hey, Very slow speed, I'm getting only 25 Mbps urgent",complaint
"Hey, Do you service 75001? please...",inquiry
"Schedule installation for 2025-02-05 at 2887 Maple St, San Francisco 85001",order
"Hello, Do you service 75001? urgent...",inquiry
Which channels are included in news package? urgent.,inquiry
"Hey, Frequent outages in my area 10001 thanks...",complaint
"Hey, Place an order for sports channels package.",order
"Hey, App streaming buffers every few minutes please",complaint
"Hello, Which channels are included in movies package? urgent...",inquiry
"Hi, What is the early termination fee? asap",inquiry
"Very slow speed, I'm getting only 50 Mbps thanks...",complaint
"Hi, Is there a contract for 24 months? please",inquiry
"Hey, Remote not working and the box keeps restarting",complaint
"Hey, Can I add international pack to my subscription? thanks!",order
"Hey, Order ID #5106: confirm activation",order
"Hello, Schedule installation for 2025-06-24 at 8419 Maple St, Houston 77001 asap...",order
Internet is down since 11:00 AM asap...,complaint
"Hi, I want to order Premium plan asap!",order
"No channels after payment, please fix thanks.",complaint
Please upgrade my package to Premium thanks.,order
"Hi, Schedule installation for 2025-04-25 at 2228 Cedar Blvd, Miami 60601 thanks.",order
"Hello, I'd like a new connection at 8750 Maple St, Dallas 85001 thanks...",order
"Schedule installation for 2025-02-01 at 4729 Cedar Blvd, Phoenix 60601 thanks.",order
Is there a contract for 24 months?.,inquiry
"Hello, Internet is down since 8:00 PM asap",complaint
"Hello, Which channels are included in family package?...",inquiry
"Hey, Can I pause service while I'm away? thanks",inquiry
"Hi, Schedule installation for 2025-01-05 at 6652 Elm St, Dallas 85001 urgent!",order
"Hello, Cable line is damaged outside my house thanks!",complaint
"Hey, What's the data cap on Standard?.",inquiry
"Hello, Technician didn't arrive for the appointment urgent",complaint
Do you offer weekend installation? please!,inquiry
"Hi, What are the prices for Premium plan? please.",inquiry
Frequent outages in my area 75001 urgent!,complaint
"Hi, Is there a contract for 12 months? asap.",inquiry
Technician didn't arrive for the appointment thanks...,complaint
"Hello, I want to order Basic plan please!",order
"Hello, I'd like a new connection at 4176 Cedar Blvd, Houston 85001 urgent!",order
"Hello, Sign me up for Standard with multi-room DVR",order
"No channels after payment, please fix",complaint
"Hi, Billing shows extra charges for December urgent",complaint
"Hi, My TV signal keeps dropping...",complaint
Internet is down since 5:00 PM.,complaint
Do you offer weekend installation? please...,inquiry
"Hey, Billing shows extra charges for December asap...",complaint
"Hey, I'd like a new connection at 9837 Maple St, Houston 75001 please.",order
"Hey, I'd like a new connection at 2409 Pine Rd, New York 10001 urgent",order
"Hello, Is there a contract for 6 months? urgent...",inquiry
"Hello, How long does installation take? thanks!",inquiry
"Hello, Order ID #7518: confirm activation urgent",order
Can I add international pack to my subscription?.,order
"Hey, Which channels are included in news package? urgent...",inquiry
"Hello, I'd like to order a set-top box for living room please...",order
"Hi, Do you service 60601? please",inquiry
I'd like to order a set-top box for basement please!,order
"Hi, Do you offer weekend installation? urgent",inquiry
"Hi, Frequent outages in my area 60601 please!",complaint
Can I pause service while I'm away? please...,inquiry
"Hey, Which channels are included in international package?",inquiry
